Altium Designer Pick and Place Locations
D:\Radio\Jobe\Ethernet_Power_Load_Controller\PCB\PWR_Switch_PCB\Project Outputs for PWR_Switch_PCB\Pick Place\Pick Place for PWR_Switch_PCB.csv

========================================================================================================================
File Design Information:

Date:       16.08.23
Time:       18:37
Revision:   4a9dfc3522b0fa76807d2a15523fcf1f9a153af2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"DG1","15EDGVC-3.5-2P","TopLayer","7.2174mm","7.9174mm","90","15EDGVC-3.5-2P"
"DG2","15EDGVC-3.5-16P","TopLayer","57.2250mm","8.0000mm","90","15EDGVC-3.5-16P"
"U1","STM32F030F4P6","TopLayer","70.1050mm","97.6250mm","90","MCU 32-bit STM32F ARM Cortex M0 RISC 16KB Flash 2.5V/3.3V 20-Pin TSSOP Tray"
"C3","0603 0.1 uF","TopLayer","76.6300mm","95.7500mm","360","Ceramic Capacitor"
"C4","0603 0.1 uF","TopLayer","76.6675mm","99.1125mm","360","Ceramic Capacitor"
"C5","0603 0.1 uF","TopLayer","76.7500mm","101.5500mm","180","Ceramic Capacitor"
"R2","0402 10K","TopLayer","65.4225mm","100.2250mm","90","Resistor"
"R6","0402 10K","TopLayer","64.4050mm","94.3000mm","180","Resistor"
"R48","0402 10K","TopLayer","66.9300mm","92.0000mm","360","Resistor"
"R53","0402 10K","TopLayer","69.2550mm","92.0000mm","180","Resistor"
"X1","PLS-5 2.54","TopLayer","68.6050mm","104.0750mm","180","Header, 5-Pin"
"R29","NC","TopLayer","63.9300mm","100.2250mm","270","Resistor"
"R56","NC","TopLayer","64.4050mm","95.7000mm","360","Resistor"
"U2","STM32F030F4P6","TopLayer","47.7000mm","97.5500mm","90","MCU 32-bit STM32F ARM Cortex M0 RISC 16KB Flash 2.5V/3.3V 20-Pin TSSOP Tray"
"C1","0603 0.1 uF","TopLayer","54.2250mm","95.5250mm","360","Ceramic Capacitor"
"C2","0603 0.1 uF","TopLayer","54.2250mm","99.0750mm","360","Ceramic Capacitor"
"C6","0603 0.1 uF","TopLayer","54.3000mm","101.5500mm","180","Ceramic Capacitor"
"R1","0402 10K","TopLayer","43.0258mm","100.2250mm","90","Resistor"
"R4","0402 10K","TopLayer","42.0000mm","94.2250mm","180","Resistor"
"R49","0402 10K","TopLayer","46.8250mm","91.9250mm","180","Resistor"
"R54","0402 3K","TopLayer","44.5250mm","91.9250mm","360","Resistor"
"X2","PLS-5 2.54","TopLayer","46.2500mm","104.0750mm","180","Header, 5-Pin"
"R30","NC","TopLayer","41.5000mm","100.2250mm","270","Resistor"
"R57","NC","TopLayer","42.0000mm","95.6250mm","360","Resistor"
"D15","B340A-13","TopLayer","14.5250mm","10.0000mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"VT6","sot23 BSS138 ","TopLayer","57.2250mm","84.6750mm","180","N-Channel Power MOSFET"
"VT5","sot23 BSS138 ","TopLayer","57.2250mm","78.5000mm","180","N-Channel Power MOSFET"
"VT4","sot23 BSS138 ","TopLayer","69.7750mm","84.3250mm","180","N-Channel Power MOSFET"
"VT3","sot23 BSS138 ","TopLayer","70.0000mm","78.5000mm","180","N-Channel Power MOSFET"
"VT2","sot23 BSS138 ","TopLayer","82.9000mm","83.9750mm","180","N-Channel Power MOSFET"
"VT1","sot23 BSS138 ","TopLayer","82.9500mm","78.3500mm","180","N-Channel Power MOSFET"
"VD5","0805 G","TopLayer","8.7500mm","14.7500mm","360","Green"
"VD4","0805 G","TopLayer","23.5425mm","9.6500mm","270","Green"
"VD3","0805 G","TopLayer","18.6670mm","9.6250mm","270","Green"
"VD2","0805 G","TopLayer","25.9500mm","9.6250mm","270","Green"
"VD1","0805 G","TopLayer","21.0000mm","9.6250mm","270","Green"
"U5","IR2110S","TopLayer","59.7000mm","68.2490mm","90","Half-Bridge Gate Driver IC Non-Inverting 16-SOIC"
"S1","SW-DIP4","TopLayer","17.6250mm","98.3000mm","90","DIP Switch"
"R55","0603 1,5k","TopLayer","18.9500mm","52.3000mm","90","Resistor"
"R52","0603 33R","TopLayer","23.1500mm","54.8250mm","180","Resistor"
"R51","0402 10K","TopLayer","60.1262mm","84.1750mm","90","Resistor"
"R50","0402 10K","TopLayer","54.4500mm","84.1750mm","90","Resistor"
"R47","0603 1k","TopLayer","19.1000mm","86.3250mm","360","Resistor"
"R46","0603 3k","TopLayer","15.2000mm","86.3250mm","180","Resistor"
"R45","0603 1,5k","TopLayer","30.7250mm","52.3000mm","90","Resistor"
"R44","0402 10K","TopLayer","60.1000mm","78.0000mm","90","Resistor"
"R43","0402 10K","TopLayer","54.4000mm","78.0000mm","90","Resistor"
"R42","0603 33R","TopLayer","35.2000mm","54.8200mm","180","Resistor"
"R41","0402 10K","TopLayer","5.0250mm","14.7500mm","360","Resistor"
"R40","0603 1k","TopLayer","18.8500mm","71.9250mm","360","Resistor"
"R39","0603 9.1k","TopLayer","15.4250mm","71.9000mm","180","Resistor"
"R38","0603 1,5k","TopLayer","43.3500mm","52.3000mm","90","Resistor"
"R37","0603 33R","TopLayer","47.7000mm","54.8200mm","180","Resistor"
"R36","0402 10K","TopLayer","72.6762mm","83.8250mm","90","Resistor"
"R35","0402 10K","TopLayer","67.0000mm","83.8250mm","90","Resistor"
"R34","0603 1,5k","TopLayer","55.9750mm","52.3000mm","90","Resistor"
"R33","0402 10K","TopLayer","72.9250mm","78.0000mm","90","Resistor"
"R32","0402 10K","TopLayer","67.2250mm","78.0000mm","90","Resistor"
"R31","0603 33R","TopLayer","60.2000mm","54.8200mm","180","Resistor"
"R28","0603 1,5k","TopLayer","68.2500mm","52.3000mm","90","Resistor"
"R27","0603 33R","TopLayer","72.7000mm","54.8200mm","180","Resistor"
"R26","0402 10K","TopLayer","85.8012mm","83.4750mm","90","Resistor"
"R25","0402 10K","TopLayer","80.1250mm","83.4750mm","90","Resistor"
"R20","0603 1,5k","TopLayer","80.5750mm","52.3000mm","90","Resistor"
"R19","0402 10K","TopLayer","85.8750mm","77.8500mm","90","Resistor"
"R18","0402 10K","TopLayer","80.1750mm","77.8500mm","90","Resistor"
"R17","0402 1K","TopLayer","21.2250mm","104.3000mm","180","Resistor"
"R16","0402 1K","TopLayer","18.6750mm","104.3000mm","180","Resistor"
"R15","0402 1K","TopLayer","16.2250mm","104.3000mm","180","Resistor"
"R14","0402 1K","TopLayer","13.7000mm","104.3000mm","180","Resistor"
"R13","0603 33R","TopLayer","85.0500mm","54.8200mm","180","Resistor"
"R12","0402 3K","TopLayer","23.5250mm","13.0000mm","270","Resistor"
"R11","0402 3K","TopLayer","18.6670mm","12.9750mm","270","Resistor"
"R10","0402 3K","TopLayer","25.9250mm","12.9750mm","270","Resistor"
"R9","0402 3K","TopLayer","21.0000mm","12.9750mm","270","Resistor"
"R8","0402 10K","TopLayer","28.8403mm","104.3750mm","180","Resistor"
"R7","NC","TopLayer","28.8151mm","102.7500mm","180","Resistor"
"R5","NC","TopLayer","26.4250mm","104.3750mm","180","Resistor"
"R3","0402 10K","TopLayer","26.4250mm","102.7500mm","180","Resistor"
"D14","SMA-2  ES1J","TopLayer","23.6500mm","52.2450mm","180","Diode Standard 600V 1A Surface Mount SMA (DO-214AC)"
"D13","MBRS540T3G","TopLayer","28.4000mm","22.2750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"D11","SMA-2  ES1J","TopLayer","35.7000mm","52.2450mm","180","Diode Standard 600V 1A Surface Mount SMA (DO-214AC)"
"D10","MBRS540T3G","TopLayer","39.8350mm","22.2750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"D8","SMA-2  ES1J","TopLayer","48.2000mm","52.2450mm","180","Diode Standard 600V 1A Surface Mount SMA (DO-214AC)"
"D7","MBRS540T3G","TopLayer","51.2700mm","22.2750mm","180","Diode Schottky 40V 5A Surface Mount SMC"
