Altium Designer Pick and Place Locations
D:\Radio\Jobe\Ethernet_Power_Load_Controller\PCB\driverPCB\Project Outputs for DriverPCB\Pick Place\Pick Place for DriverPCB.csv

========================================================================================================================
File Design Information:

Date:       17.08.23
Time:       11:02
Revision:   4a9dfc3522b0fa76807d2a15523fcf1f9a153af2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"DG1","15EDGVC-3.5-16P","TopLayer","29.1750mm","8.0250mm","90",""
"R13","0402 NC","TopLayer","16.4500mm","97.1250mm","180","Resistor"
"R12","0402 10K","TopLayer","14.1250mm","97.1250mm","180","Resistor"
"R11","0402 10K","TopLayer","16.4500mm","98.6250mm","180","Resistor"
"R10","0402 NC","TopLayer","14.1250mm","98.6250mm","180","Resistor"
"R48","0402 NC","TopLayer","39.1250mm","96.6500mm","270","Resistor"
"R47","0402 NC","TopLayer","40.5000mm","96.6500mm","270","Resistor"
"R46","0402 NC","TopLayer","34.4000mm","96.6500mm","270","Resistor"
"R45","0402 NC","TopLayer","35.8000mm","96.6500mm","270","Resistor"
"X4","PLD-10R","TopLayer","8.7300mm","98.6200mm","90","Header, 5-Pin, Dual row"
"X3","PBD-10R","TopLayer","55.3700mm","98.6200mm","270","Header, 5-Pin, Dual row"
"U2","STM32F030F4P6","TopLayer","19.5000mm","82.5250mm","90","MCU 32-bit STM32F ARM Cortex M0 RISC 16KB Flash 2.5V/3.3V 20-Pin TSSOP Tray"
"U1","STM32F030F4P6","TopLayer","44.5250mm","82.5250mm","90","MCU 32-bit STM32F ARM Cortex M0 RISC 16KB Flash 2.5V/3.3V 20-Pin TSSOP Tray"
"U4_ch6","LMC7101BIM5","BottomLayer","23.9000mm","82.0750mm","90",""
"U4_ch5","LMC7101BIM5","BottomLayer","19.8500mm","82.0750mm","90",""
"U4_ch4","LMC7101BIM5","BottomLayer","14.3000mm","82.1250mm","90",""
"U4_ch3","LMC7101BIM5","BottomLayer","51.9000mm","82.0000mm","90",""
"U4_ch2","LMC7101BIM5","BottomLayer","46.4250mm","82.0750mm","90",""
"U4_ch1","LMC7101BIM5","BottomLayer","41.6375mm","82.1000mm","90",""
"U3_ch6","LM3406MH","TopLayer","8.5942mm","60.7948mm","90","Constant Current Buck Regulator"
"U3_ch5","LM3406MH","TopLayer","18.2165mm","60.7948mm","90","Constant Current Buck Regulator"
"U3_ch4","LM3406MH","TopLayer","27.8388mm","60.7948mm","90","Constant Current Buck Regulator"
"U3_ch3","LM3406MH","TopLayer","37.4612mm","60.7948mm","90","Constant Current Buck Regulator"
"U3_ch2","LM3406MH","TopLayer","47.0835mm","60.7948mm","90","Constant Current Buck Regulator"
"U3_ch1","LM3406MH","TopLayer","56.7058mm","60.9198mm","90","Constant Current Buck Regulator"
"S1","SW-DIP4","TopLayer","26.9250mm","97.8250mm","90","DIP Switch"
"R17_ch6","0402 10K","BottomLayer","21.5300mm","85.3750mm","180","Resistor"
"R17_ch5","0402 10K","BottomLayer","16.5400mm","85.3750mm","180","Resistor"
"R17_ch4","0402 10K","BottomLayer","11.5500mm","85.3750mm","180","Resistor"
"R17_ch3","0402 10K","BottomLayer","49.4575mm","85.4750mm","180","Resistor"
"R17_ch2","0402 10K","BottomLayer","44.8725mm","85.4750mm","180","Resistor"
"R17_ch1","0402 10K","BottomLayer","40.2875mm","85.4750mm","180","Resistor"
"R16_ch6","0402 1K","BottomLayer","24.0250mm","85.3750mm","180","Resistor"
"R16_ch5","0402 1K","BottomLayer","19.0350mm","85.3750mm","180","Resistor"
"R16_ch4","0402 1K","BottomLayer","14.0450mm","85.3750mm","180","Resistor"
"R16_ch3","0402 1K","BottomLayer","51.7500mm","85.4750mm","180","Resistor"
"R16_ch2","0402 1K","BottomLayer","47.1650mm","85.4750mm","180","Resistor"
"R16_ch1","0402 1K","BottomLayer","42.5800mm","85.4750mm","180","Resistor"
"R14_ch6","0402 1K","BottomLayer","22.9750mm","77.4500mm","90","Resistor"
"R14_ch5","0402 1K","BottomLayer","18.2625mm","77.4000mm","90","Resistor"
"R14_ch4","0402 1K","BottomLayer","13.0750mm","77.4750mm","90","Resistor"
"R14_ch3","0402 1K","BottomLayer","50.9500mm","78.7000mm","90","Resistor"
"R14_ch2","0402 1K","BottomLayer","45.5250mm","77.5500mm","90","Resistor"
"R14_ch1","0402 1K","BottomLayer","41.2500mm","77.7250mm","90","Resistor"
"R9_ch6","1206 NC","BottomLayer","11.6917mm","23.8750mm","180","Resistor"
"R9_ch5","1206 NC","BottomLayer","18.6925mm","23.8750mm","180","Resistor"
"R9_ch4","1206 NC","BottomLayer","25.6932mm","23.8750mm","180","Resistor"
"R9_ch3","1206 NC","BottomLayer","32.6940mm","23.8750mm","180","Resistor"
"R9_ch2","1206 NC","BottomLayer","39.6947mm","23.8750mm","180","Resistor"
"R9_ch1","1206 NC","BottomLayer","46.6955mm","23.8750mm","180","Resistor"
"R8_ch6","1206 1 Om","BottomLayer","11.6917mm","26.0750mm","180","Resistor"
"R8_ch5","1206 1 Om","BottomLayer","18.6925mm","26.0750mm","180","Resistor"
"R8_ch4","1206 1 Om","BottomLayer","25.6932mm","26.0750mm","180","Resistor"
"R8_ch3","1206 1 Om","BottomLayer","32.6940mm","26.0750mm","180","Resistor"
"R8_ch2","1206 1 Om","BottomLayer","39.6947mm","26.0750mm","180","Resistor"
"R8_ch1","1206 1 Om","BottomLayer","46.6955mm","26.0750mm","180","Resistor"
"R7_ch6","1206 1 Om","BottomLayer","11.6917mm","28.2750mm","180","Resistor"
"R7_ch5","1206 1 Om","BottomLayer","18.6925mm","28.2750mm","180","Resistor"
"R7_ch4","1206 1 Om","BottomLayer","25.6932mm","28.2750mm","180","Resistor"
"R7_ch3","1206 1 Om","BottomLayer","32.6940mm","28.2750mm","180","Resistor"
"R7_ch2","1206 1 Om","BottomLayer","39.6947mm","28.2750mm","180","Resistor"
"R7_ch1","1206 1 Om","BottomLayer","46.6955mm","28.2750mm","180","Resistor"
"R6_ch6","1206 1 Om","BottomLayer","11.6917mm","30.4750mm","180","Resistor"
"R6_ch5","1206 1 Om","BottomLayer","18.6925mm","30.4750mm","180","Resistor"
"R6_ch4","1206 1 Om","BottomLayer","25.6932mm","30.4750mm","180","Resistor"
"R6_ch3","1206 1 Om","BottomLayer","32.6940mm","30.4750mm","180","Resistor"
"R6_ch2","1206 1 Om","BottomLayer","39.6947mm","30.4750mm","180","Resistor"
"R6_ch1","1206 1 Om","BottomLayer","46.6955mm","30.4750mm","180","Resistor"
"R5_ch6","1206 NC","BottomLayer","11.6917mm","32.6750mm","180","Resistor"
"R5_ch5","1206 NC","BottomLayer","18.6925mm","32.6750mm","180","Resistor"
"R5_ch4","1206 NC","BottomLayer","25.6932mm","32.6750mm","180","Resistor"
"R5_ch3","1206 NC","BottomLayer","32.6940mm","32.6750mm","180","Resistor"
"R5_ch2","1206 NC","BottomLayer","39.6947mm","32.6750mm","180","Resistor"
"R5_ch1","1206 NC","BottomLayer","46.6955mm","32.6750mm","180","Resistor"
"R4_ch6","0402 1K","BottomLayer","10.8000mm","54.6500mm","90","Resistor"
"R4_ch5","0402 1K","BottomLayer","20.3200mm","54.6500mm","90","Resistor"
"R4_ch4","0402 1K","BottomLayer","29.8400mm","54.6500mm","90","Resistor"
"R4_ch3","0402 1K","BottomLayer","39.3600mm","54.6500mm","90","Resistor"
"R4_ch2","0402 1K","BottomLayer","48.8800mm","54.6500mm","90","Resistor"
"R4_ch1","0402 1K","BottomLayer","58.4000mm","54.6500mm","90","Resistor"
"R2_ch6","0402 100K","TopLayer","7.6500mm","67.5750mm","90","Resistor"
"R2_ch5","0402 100K","TopLayer","17.2750mm","67.5750mm","90","Resistor"
"R2_ch4","0402 100K","TopLayer","26.9000mm","67.5750mm","90","Resistor"
"R2_ch3","0402 100K","TopLayer","36.5250mm","67.5750mm","90","Resistor"
"R2_ch2","0402 100K","TopLayer","46.1500mm","67.5750mm","90","Resistor"
"R2_ch1","0402 100K","TopLayer","55.7750mm","67.5750mm","90","Resistor"
"R1_ch6","0402 1K","BottomLayer","9.2250mm","54.6250mm","90","Resistor"
"R1_ch5","0402 1K","BottomLayer","18.7250mm","54.6250mm","90","Resistor"
"R1_ch4","0402 1K","BottomLayer","28.2250mm","54.6250mm","90","Resistor"
"R1_ch3","0402 1K","BottomLayer","37.7250mm","54.6250mm","90","Resistor"
"R1_ch2","0402 1K","BottomLayer","47.2250mm","54.6250mm","90","Resistor"
"R1_ch1","0402 1K","BottomLayer","56.7250mm","54.6250mm","90","Resistor"
"L1_ch6","B82464G4223M000","TopLayer","13.3250mm","46.1750mm","180",""
"L1_ch5","B82464G4223M000","TopLayer","16.4250mm","34.4750mm","180",""
"L1_ch4","B82464G4223M000","TopLayer","33.2500mm","46.1750mm","180",""
"L1_ch3","B82464G4223M000","TopLayer","36.5500mm","34.4750mm","180",""
"L1_ch2","B82464G4223M000","TopLayer","53.1750mm","46.1750mm","180",""
"L1_ch1","B82464G4223M000","TopLayer","56.6750mm","34.4750mm","180",""
"D2_ch6","B340A-13","TopLayer","8.0750mm","53.5500mm","180","Diode Schottky 40 V 3A Surface Mount SMA"
"D2_ch5","B340A-13","TopLayer","17.8050mm","53.6250mm","180","Diode Schottky 40 V 3A Surface Mount SMA"
"D2_ch4","B340A-13","TopLayer","27.5350mm","53.7750mm","180","Diode Schottky 40 V 3A Surface Mount SMA"
"D2_ch3","B340A-13","TopLayer","37.2650mm","53.7750mm","180","Diode Schottky 40 V 3A Surface Mount SMA"
"D2_ch2","B340A-13","TopLayer","46.9950mm","53.7750mm","180","Diode Schottky 40 V 3A Surface Mount SMA"
"D2_ch1","B340A-13","TopLayer","56.7250mm","53.7750mm","180","Diode Schottky 40 V 3A Surface Mount SMA"
"D1_ch6","B340A-13","TopLayer","5.4000mm","44.3131mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"D1_ch5","B340A-13","TopLayer","8.7000mm","36.3369mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"D1_ch4","B340A-13","TopLayer","25.3250mm","44.3131mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"D1_ch3","B340A-13","TopLayer","28.7750mm","36.3369mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"D1_ch2","B340A-13","TopLayer","45.3500mm","44.3131mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"D1_ch1","B340A-13","TopLayer","48.7750mm","35.5385mm","270","Diode Schottky 40 V 3A Surface Mount SMA"
"C7_ch6","0603 0.1 uF","TopLayer","11.6000mm","66.1750mm","90","Ceramic Capacitor SMD"
"C7_ch5","0603 0.1 uF","TopLayer","21.2500mm","66.1750mm","90","Ceramic Capacitor SMD"
"C7_ch4","0603 0.1 uF","TopLayer","30.9000mm","66.1750mm","90","Ceramic Capacitor SMD"
"C7_ch3","0603 0.1 uF","TopLayer","40.5500mm","66.1750mm","90","Ceramic Capacitor SMD"
"C7_ch2","0603 0.1 uF","TopLayer","50.2000mm","66.1750mm","90","Ceramic Capacitor SMD"
"C7_ch1","0603 0.1 uF","TopLayer","59.8500mm","66.1750mm","90","Ceramic Capacitor SMD"
"C6_ch6","1812 4.7 uF","TopLayer","11.5750mm","22.6750mm","180","Ceramic Capacitor SMD"
"C6_ch5","1812 4.7 uF","TopLayer","18.5500mm","22.6750mm","180","Ceramic Capacitor SMD"
"C6_ch4","1812 4.7 uF","TopLayer","25.6750mm","22.6750mm","180","Ceramic Capacitor SMD"
"C6_ch3","1812 4.7 uF","TopLayer","32.7250mm","22.6750mm","180","Ceramic Capacitor SMD"
"C6_ch2","1812 4.7 uF","TopLayer","39.7750mm","22.7000mm","180","Ceramic Capacitor SMD"
"C6_ch1","1812 4.7 uF","TopLayer","46.8250mm","22.6750mm","180","Ceramic Capacitor SMD"
"C5_ch6","1812 4.7 uF","TopLayer","11.5750mm","26.9250mm","180","Ceramic Capacitor SMD"
"C5_ch5","1812 4.7 uF","TopLayer","18.6250mm","26.9250mm","180","Ceramic Capacitor SMD"
"C5_ch4","1812 4.7 uF","TopLayer","25.6750mm","26.9250mm","180","Ceramic Capacitor SMD"
"C5_ch3","1812 4.7 uF","TopLayer","32.7250mm","26.9250mm","180","Ceramic Capacitor SMD"
"C5_ch2","1812 4.7 uF","TopLayer","39.7750mm","26.9250mm","180","Ceramic Capacitor SMD"
"C5_ch1","1812 4.7 uF","TopLayer","46.8250mm","26.9250mm","180","Ceramic Capacitor SMD"
"C2_ch6","0603 1 uF","TopLayer","9.2250mm","67.0750mm","90","Ceramic Capacitor SMD"
"C2_ch5","0603 1 uF","TopLayer","18.8600mm","67.0750mm","90","Ceramic Capacitor SMD"
"C2_ch4","0603 1 uF","TopLayer","28.4950mm","67.0750mm","90","Ceramic Capacitor SMD"
"C2_ch3","0603 1 uF","TopLayer","38.1300mm","67.0750mm","90","Ceramic Capacitor SMD"
"C2_ch2","0603 1 uF","TopLayer","47.7650mm","67.0750mm","90","Ceramic Capacitor SMD"
"C2_ch1","0603 1 uF","TopLayer","57.4000mm","67.0500mm","90","Ceramic Capacitor SMD"
"C1_ch6","0603 0.1 uF","TopLayer","12.7750mm","55.6750mm","90","Ceramic Capacitor SMD"
"C1_ch5","0603 0.1 uF","TopLayer","22.5150mm","55.6750mm","90","Ceramic Capacitor SMD"
"C1_ch4","0603 0.1 uF","TopLayer","32.2550mm","55.6750mm","90","Ceramic Capacitor SMD"
"C1_ch3","0603 0.1 uF","TopLayer","41.9950mm","55.6750mm","90","Ceramic Capacitor SMD"
"C1_ch2","0603 0.1 uF","TopLayer","51.7350mm","55.6750mm","90","Ceramic Capacitor SMD"
"C1_ch1","0603 0.1 uF","TopLayer","61.4750mm","55.6750mm","90","Ceramic Capacitor SMD"
"VD3","0805 G","TopLayer","41.7652mm","103.0250mm","90","Green"
"VD2","0805 G","TopLayer","48.0701mm","102.9750mm","90","Green"
"R40","0402 3K","TopLayer","43.2750mm","102.2900mm","270","Resistor"
"R29","0402 3K","TopLayer","49.6000mm","102.2400mm","270","Resistor"
"X1","","TopLayer","32.5250mm","80.4500mm","180","Header, 5-Pin"
"X2","","TopLayer","32.5000mm","84.0000mm","180","Header, 5-Pin"
"VR1","LM1117MPX-3.3","TopLayer","57.0000mm","80.4000mm","180","800-mA 15-V linear voltage regulator"
"R34","0402 100K","TopLayer","18.9750mm","77.6750mm","0","Resistor"
"R35","0402 10K","TopLayer","14.5250mm","80.1000mm","180","Resistor"
"R28","04021K","TopLayer","30.7750mm","103.9250mm","180","Resistor"
"R27","0402 1K","TopLayer","28.3833mm","103.9250mm","180","Resistor"
"R25","0402 1K","TopLayer","23.6000mm","103.9250mm","180","Resistor"
"R26","0402 1K","TopLayer","25.9917mm","103.9250mm","180","Resistor"
"C14","1812 4.7 uF","TopLayer","57.1750mm","86.3500mm","180","Ceramic Capacitor"
"C12","0603 0.1 uF","TopLayer","13.1750mm","85.3500mm","180","Ceramic Capacitor"
"C10","0603 0.1 uF","TopLayer","36.6000mm","77.6500mm","0","Ceramic Capacitor"
"C11","0603 0.1 uF","TopLayer","13.1750mm","83.0000mm","180","Ceramic Capacitor"
"C13","0603 0.1 uF","TopLayer","29.4750mm","77.6500mm","180","Ceramic Capacitor"
"VD1","0805 G","TopLayer","60.7556mm","13.7000mm","270","Green"
"R23","0402 100K","TopLayer","44.0750mm","77.5750mm","0","Resistor"
